,明细_数值,图片,文件,审批状态,数据日期,所属部门,oid,明细_检测次数,取数日期,TemplateCodeId,明细_工序位置,填报人,明细_备注,明细_所属项目,完成时间,班次,标题,明细_化验指标,申请日期,TemplateId,明细_计量单位
0,1.7,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密11米搅拌罐,谭进,,倒数第二槽PH值,,夜班,化验室填报表单,倒数第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
1,1.3,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密6米搅拌罐,谭进,,搅浸倒数第二槽PH值,,夜班,化验室填报表单,倒数第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
2,1.5,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密8米搅拌罐,谭进,,倒数第二槽PH值,,夜班,化验室填报表单,倒数第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
3,1.4,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密11米搅拌罐,谭进,,搅浸第二槽PH值,,夜班,化验室填报表单,第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
4,1.1,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密6米搅拌罐,谭进,,搅浸第二槽PH值,,夜班,化验室填报表单,第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
5,1.3,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密8米搅拌罐,谭进,,搅浸第二槽PH值,,夜班,化验室填报表单,第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
6,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密11米搅拌罐,谭进,,倒数第二槽PH值,,夜班,化验室填报表单,倒数第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
7,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密6米搅拌罐,谭进,,搅浸倒数第二槽PH值,,夜班,化验室填报表单,倒数第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
8,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密8米搅拌罐,谭进,,倒数第二槽PH值,,夜班,化验室填报表单,倒数第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
9,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,浓密11米搅拌罐,谭进,,搅浸第二槽PH值,,夜班,化验室填报表单,第二槽PH值,2024-05-29 11:50:19,6644541eeb3f0300019793a2,
