,总折干,取数日期,夜班水分,白班折干量,夜班折干量,白班金属铜,总含铜率,夜班金属铜,白班含铜量,总金属铜,夜班含铜量,白班水分
0,0.0,2024-04-01,0.114,504.336,558.18,11.145825599999998,0.0,11.386872,0.0,0.0,0.0,0.09939999999999999
1,0.0,2024-04-02,0.0,325.8,0.0,9.122399999999999,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
3,0.0,2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,2024-05-31,0.0959,0.0,320.95550000000003,0.0,0.0,7.735027550000001,0.0,0.0,0.0,0.0
5,0.0,2024-06-01,0.0,142.0,0.0,4.4872000000000005,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,2024-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,2024-06-03,0.0,123.31679999999999,0.0,3.3048902399999998,0.0,0.0,0.0,0.0,0.0,0.10640000000000001
8,0.0,2024-06-04,0.0,83.9608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10679999999999999
9,0.0,2024-06-05,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,2024-06-06,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,2024-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,2024-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,2024-06-09,0.0,201.97109999999998,0.0,4.12021044,0.0,0.0,0.0,0.0,0.0,0.0943
14,0.0,2024-06-10,0.1081,0.0,1672.3125,0.0,0.0,38.29595625,0.0,0.0,0.0,0.0
15,0.0,2024-06-11,0.0969,1952.0,1337.4911,0.0,0.0,31.832288179999995,0.0,0.0,0.0,0.0
16,0.0,2024-06-12,0.0922,1632.4952,2175.9966,37.38414008,0.0,43.084732679999995,0.0,0.0,0.0,0.10890000000000001
17,0.0,2024-06-13,0.1185,1981.2239,1988.664,39.42635561,0.0,39.77328,0.0,0.0,0.0,0.1023
18,0.0,2024-06-14,0.1026,1717.5802,1768.7754,36.41270024,0.0,36.43677324,0.0,0.0,0.0,0.08929999999999999
19,0.0,2024-06-15,0.0953,884.3652000000001,1450.2341000000001,12.20423976,0.0,33.93547794,0.0,0.0,0.0,0.1174
20,0.0,2024-06-16,0.1166,0.0,91.8736,0.0,0.0,2.0212192,0.0,0.0,0.0,0.0
21,0.0,2024-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,2024-06-19,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,2024-06-20,0.0,348.02909999999997,0.0,7.55223147,0.0,0.0,0.0,0.0,0.0,0.1007
25,0.0,2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,2024-06-22,0.1323,443.41659999999996,656.8489000000001,7.9814988,0.0,16.02711316,0.0,0.0,0.0,0.1167
27,0.0,2024-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
