,明细_所属分类,填表人,流水号,图片,文件,审批状态,数据日期,所属部门,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
0,直接材料,谭进,KPKYTNMSCRBB-20240527-001,,,结束,2024-04-01 00:00:00,财务管理部,三期半自磨浮选铜搅浸絮凝剂消耗量,63e0581be4b02e6e0f71ab66,2024-04-01,b0b170c2468740a780990ce6ad9b4219,0.1,絮凝剂,,,夜班,凯鹏矿业铜浓密生产日报表,2024-05-27 17:28:56,6654503f5389e50001e726e0,kg
1,直接材料,谭进,KPKYTNMSCRBB-20240527-001,,,结束,2024-04-01 00:00:00,财务管理部,球磨铜搅浸絮凝剂消耗量,63e0581be4b02e6e0f71ab66,2024-04-01,b0b170c2468740a780990ce6ad9b4219,0.35,絮凝剂,,,夜班,凯鹏矿业铜浓密生产日报表,2024-05-27 17:28:56,6654503f5389e50001e726e0,kg
2,直接材料,谭进,KPKYTNMSCRBB-20240527-001,,,结束,2024-04-01 00:00:00,财务管理部,球磨铜搅浸硫酸消耗量,63e0581be4b02e6e0f71ab66,2024-04-01,b0b170c2468740a780990ce6ad9b4219,165.0,浓密硫酸,,,夜班,凯鹏矿业铜浓密生产日报表,2024-05-27 17:28:56,6654503f5389e50001e726e0,立方米
3,直接材料,谭进,KPKYTNMSCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,三期半自磨浮选铜搅浸絮凝剂消耗量,63e0581be4b02e6e0f71ab66,2024-04-01,b0b170c2468740a780990ce6ad9b4219,0.1,絮凝剂,,,白班,凯鹏矿业铜浓密生产日报表,2024-05-27 17:29:23,6654503f5389e50001e726e0,kg
4,直接材料,谭进,KPKYTNMSCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,球磨铜搅浸絮凝剂消耗量,63e0581be4b02e6e0f71ab66,2024-04-01,b0b170c2468740a780990ce6ad9b4219,0.35,絮凝剂,,,白班,凯鹏矿业铜浓密生产日报表,2024-05-27 17:29:23,6654503f5389e50001e726e0,kg
5,直接材料,谭进,KPKYTNMSCRBB-20240527-002,,,结束,2024-04-01 00:00:00,财务管理部,球磨铜搅浸硫酸消耗量,63e0581be4b02e6e0f71ab66,2024-04-01,b0b170c2468740a780990ce6ad9b4219,166.0,浓密硫酸,,,白班,凯鹏矿业铜浓密生产日报表,2024-05-27 17:29:23,6654503f5389e50001e726e0,立方米
6,直接材料,李超,KPKYTNMSCRBB-20240601-001,,,结束,2024-06-01 06:00:00,湿法分厂,球磨铜搅浸絮凝剂消耗量,664aef5ce4b014e238bb1452,2024-06-01,b0b170c2468740a780990ce6ad9b4219,425.0,絮凝剂,,,夜班,凯鹏矿业铜浓密生产日报表,2024-06-01 13:19:38,6654503f5389e50001e726e0,kg
7,直接材料,李超,KPKYTNMSCRBB-20240601-001,,,结束,2024-06-01 06:00:00,湿法分厂,球磨铜搅浸硫酸消耗量,664aef5ce4b014e238bb1452,2024-06-01,b0b170c2468740a780990ce6ad9b4219,190.0,浓密硫酸,,,夜班,凯鹏矿业铜浓密生产日报表,2024-06-01 13:19:38,6654503f5389e50001e726e0,立方米
8,直接材料,李超,KPKYTNMSCRBB-20240602-001,,,结束,2024-06-02 06:00:00,湿法分厂,球磨铜搅浸絮凝剂消耗量,664aef5ce4b014e238bb1452,2024-06-02,b0b170c2468740a780990ce6ad9b4219,300.0,絮凝剂,,,夜班,凯鹏矿业铜浓密生产日报表,2024-06-02 12:55:18,6654503f5389e50001e726e0,kg
9,直接材料,李超,KPKYTNMSCRBB-20240602-001,,,结束,2024-06-02 06:00:00,湿法分厂,球磨铜搅浸硫酸消耗量,664aef5ce4b014e238bb1452,2024-06-02,b0b170c2468740a780990ce6ad9b4219,132.0,浓密硫酸,,,夜班,凯鹏矿业铜浓密生产日报表,2024-06-02 12:55:18,6654503f5389e50001e726e0,立方米
