,明细_所属分类,取数日期,数据日期,明细_数量,所属部门,明细_所属项目,班次,明细_项目,明细_计量单位
0,直接材料,2025-05-01,2025-05-01 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
1,直接材料,2025-05-01,2025-05-01 06:00:00,1287.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
2,直接材料,2025-05-01,2025-05-01 06:00:00,2391.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
3,直接材料,2025-05-01,2025-05-01 06:00:00,320.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
4,直接材料,2025-05-01,2025-05-01 06:00:00,40.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
5,直接材料,2025-05-01,2025-05-01 06:00:00,0.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
6,直接材料,2025-05-01,2025-05-01 06:00:00,414.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
7,直接材料,2025-05-01,2025-05-01 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
8,直接材料,2025-05-01,2025-05-01 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
9,直接材料,2025-05-01,2025-05-01 06:00:00,2.203,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
10,直接材料,2025-05-01,2025-05-01 06:00:00,0.039,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
11,直接材料,2025-05-02,2025-05-02 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
12,直接材料,2025-05-02,2025-05-02 06:00:00,1226.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
13,直接材料,2025-05-02,2025-05-02 06:00:00,2250.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
14,直接材料,2025-05-02,2025-05-02 06:00:00,300.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
