,明细_所属分类,填表人,图片,流水号,文件,审批状态,数据日期,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
0,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,4-5期瓜尔胶消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,10.0,瓜尔胶,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,KG
1,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,7期硫脲消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,10.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,KG
2,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,7期硫酸亚铁消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,10.0,硫酸亚铁,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,KG
3,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,7期萃取剂消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,10.0,萃取剂,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,KG
4,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,7期酪蛋白消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,10.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,KG
5,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,7期煤油消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,200.0,煤油,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,升
6,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,五期电解铜生产入库,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,139.92,产量,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,吨
7,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,四期电解铜生产入库,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,产量,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,吨
8,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,五期电解铜生产入库,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,20.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,槽
9,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-001,,结束,2024-04-01 00:00:00,四期电解铜生产入库,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:21:58,6654500626abb50001c5f993,槽
