,明细_所属分类,填表人,流水号,图片,文件,审批状态,数据日期,所属部门,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
0,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-001,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨絮凝剂消耗,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.175,絮凝剂,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:02,664197e6ac720f0001505f64,kg
1,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-001,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨2号油消耗,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:02,664197e6ac720f0001505f64,吨
2,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-001,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨戊基黄药,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:02,664197e6ac720f0001505f64,吨
3,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-001,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨用水量,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:02,664197e6ac720f0001505f64,吨
4,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-001,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨磨矿量湿重,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,4315.0,磨浮矿石,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:02,664197e6ac720f0001505f64,吨
5,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-001,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨衬板消耗,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,衬板,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:02,664197e6ac720f0001505f64,吨
6,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-001,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨钢球消耗,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,钢球,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:02,664197e6ac720f0001505f64,吨
7,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-002,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨絮凝剂消耗,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.175,絮凝剂,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:19,664197e6ac720f0001505f64,kg
8,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-002,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨2号油消耗,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:19,664197e6ac720f0001505f64,吨
9,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-002,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨戊基黄药,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:19,664197e6ac720f0001505f64,吨
10,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-002,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨用水量,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:19,664197e6ac720f0001505f64,吨
11,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-002,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨磨矿量湿重,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,3848.0,磨浮矿石,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:19,664197e6ac720f0001505f64,吨
12,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-002,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨衬板消耗,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,衬板,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:19,664197e6ac720f0001505f64,吨
13,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-002,,,结束,2024-04-02 00:00:00,财务管理部,3期半自磨钢球消耗,63e0581be4b02e6e0f71ab66,2024-04-02,2d640fd0b6eb4e2d819cf4119a3d5839,4.0,钢球,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:19,664197e6ac720f0001505f64,吨
14,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-003,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨絮凝剂消耗,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.15,絮凝剂,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:38,664197e6ac720f0001505f64,kg
15,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-003,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨2号油消耗,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:38,664197e6ac720f0001505f64,吨
16,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-003,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨戊基黄药,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:38,664197e6ac720f0001505f64,吨
17,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-003,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨用水量,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:38,664197e6ac720f0001505f64,吨
18,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-003,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨磨矿量湿重,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,4821.0,磨浮矿石,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:38,664197e6ac720f0001505f64,吨
19,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-003,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨衬板消耗,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,衬板,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:38,664197e6ac720f0001505f64,吨
20,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-003,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨钢球消耗,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,钢球,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:50:38,664197e6ac720f0001505f64,吨
21,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-004,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨絮凝剂消耗,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.175,絮凝剂,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:51:05,664197e6ac720f0001505f64,kg
22,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-004,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨2号油消耗,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:51:05,664197e6ac720f0001505f64,吨
23,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-004,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨戊基黄药,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:51:05,664197e6ac720f0001505f64,吨
24,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-004,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨用水量,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:51:05,664197e6ac720f0001505f64,吨
25,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-004,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨磨矿量湿重,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,3851.0,磨浮矿石,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:51:05,664197e6ac720f0001505f64,吨
26,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-004,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨衬板消耗,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,500.0,衬板,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:51:05,664197e6ac720f0001505f64,吨
27,直接材料,谭进,KPKYT（MF）CJSCRBB-20240517-004,,,结束,2024-04-01 00:00:00,财务管理部,3期半自磨钢球消耗,63e0581be4b02e6e0f71ab66,2024-04-01,2d640fd0b6eb4e2d819cf4119a3d5839,7.0,钢球,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-05-17 15:51:05,664197e6ac720f0001505f64,吨
28,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-001,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨絮凝剂消耗,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,460.0,絮凝剂,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 04:30:42,665852eecfa09900015eefbe,kg
29,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-001,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨2号油消耗,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,140.4,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 04:30:42,665852eecfa09900015eefbe,千克
30,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-001,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨乙硫氨酯,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,172.8,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 04:30:42,665852eecfa09900015eefbe,千克
31,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240602-001,,,结束,2024-06-01 06:00:00,磨浮压滤工段,3期半自磨戊基黄药,664aef5ce4b014e238bb145a,2024-06-01,2d640fd0b6eb4e2d819cf4119a3d5839,594.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-02 04:30:42,665852eecfa09900015eefbe,千克
