,原矿水分,原矿硫化铜含量,原矿硫化铜金属,原矿全铜金属,原矿折干,原矿数量,原氧化铜含量,取数日期,原铜含量,精铜原矿数量,精铜水分,精铜金属铜,精铜矿折干,硫化铜回收率,精铜总铜含量,精铜硫化金属铜,精铜硫化铜品位
0,0.22549999999999998,0.0,0.0,152.34675389999995,7694.280499999999,8672.0,0.039599999999999996,2024-04-01,0.039599999999999996,,,,,,,,
1,0.2101,0.0,0.0,146.95712534999998,7304.5195,8163.0,0.0401,2024-04-02,0.0401,,,,,,,,
2,0.2276,0.0157,73.4163776,272.44721964,9365.3084,10568.0,0.042499999999999996,2024-06-01,0.0582,310.0,,,,,,,
3,0.2267,0.0245,114.68656750999999,283.18807057,9361.0317,10558.0,0.036000000000000004,2024-06-02,0.0605,330.0,,,,,,,
4,0.2359,0.0155,59.97089156,219.47250514,6666.5599,7623.0,0.048,2024-06-03,0.0635,270.0,,,,,,,
5,0.2015,0.0195,91.90536134999999,302.36842335,9438.8085,10497.0,0.0446,2024-06-04,0.0641,300.0,,,,,,,
6,0.2095,0.0291,110.03602008,269.06500012,7719.8534,8626.0,0.0412,2024-06-05,0.0703,320.0,,,,,,,
7,0.1845,0.0237,75.80199564,194.914468,6734.1078,7419.0,0.035199999999999995,2024-06-06,0.058899999999999994,220.0,,,,,,,
8,0.0857,0.0088,34.46837856,104.97188016000001,3916.8612,4284.0,0.018000000000000002,2024-06-07,0.026800000000000004,120.0,,,,,,,
9,0.1893,0.0175,68.61664768,224.57915788000003,7831.429899999999,8631.0,0.041,2024-06-08,0.0585,380.0,,,,,,,
10,0.2082,0.0229,79.50774942000001,225.60782454000005,6895.4238000000005,7697.0,0.042300000000000004,2024-06-09,0.06520000000000001,400.0,,,,,,,
11,0.1057,0.010700000000000001,38.37173010000001,107.2256757,3586.143,4010.0,0.0192,2024-06-10,0.0299,230.0,,,,,,,
12,0.2148,0.0179,56.77917576,170.85233064000002,6338.377200000001,7102.0,0.036000000000000004,2024-06-11,0.0539,440.0,,,,,,,
13,0.1137,0.0085,26.22428755,95.64151929999998,3085.2102999999997,3481.0,0.0225,2024-06-12,0.031,260.0,,,,,,,
14,0.321,0.0344,107.04236759999999,308.33177778,9777.1086,10949.0,0.06169999999999999,2024-06-13,0.09609999999999999,600.0,,,,,,,
15,0.1192,0.0084,28.0411488,107.4910704,3338.232,3790.0,0.023799999999999998,2024-06-14,0.0322,190.0,,,,,,,
16,0.5863,0.046200000000000005,83.15151643680001,362.21618404720004,8952.517447999999,10162.48,0.1573,2024-06-15,0.20350000000000001,890.0,,,,,,,
17,0.224,0.0129,50.93621261999999,236.71429139999998,7819.7706,8805.0,0.0476,2024-06-16,0.0605,520.0,,,,,,,
18,0.22139999999999999,0.0195,59.84752213,227.41783977000003,5730.8647,6439.0,0.057800000000000004,2024-06-17,0.07730000000000001,350.0,,,,,,,
19,0.2131,0.022600000000000002,83.88266232000001,293.32072134,7397.727,8280.0,0.0566,2024-06-18,0.0792,380.0,,,,,,,
20,0.2234,0.0206,73.89128124,208.76080427999995,7173.9108,8076.0,0.037599999999999995,2024-06-19,0.058199999999999995,370.0,,,,,,,
